;Particle;Position;Coordinates;Saturated;Intensity;Fluorescence time series;Fluorescence rate;Fluorescence increase;Saturated rate;Fluorescence rate err
0;1;0;(3.581967213114754, 13.0);0;112843.82142857142;"[ 2768.375       2766.98214286  2608.57142857  2619.92857143
  4736.85714286 11199.625      16226.32142857 25295.33928571
 30739.08928571 31460.69642857 37400.78571429 39476.80357143
 39750.71428571 40053.83928571 43850.14285714 39467.08928571
 44792.96428571 46163.98214286 49040.05357143 43981.375
 41566.30357143 41059.35714286 40065.03571429]";1.9220342500532448;41989.30154351805;0.0;0.2247468573545922
1;2;0;(3.449438202247191, 72.14606741573034);0;51333.09090909091;"[ -133.87878788  -229.84848485  -435.12121212  -513.81818182
  -348.33333333  2113.48484848  3016.81818182  4200.75757576
  4735.78787879  5706.06060606  7394.96969697  3802.90909091
  6939.66666667  8984.75757576 11082.18181818  9243.36363636
  8869.87878788 12517.18181818 14970.21212121 13431.93939394
 15227.39393939 11637.45454545 13078.84848485]";11.473588343958292;26212.65876089261;0.0;7.705723750192317
2;3;0;(3.3684210526315788, 231.54736842105262);0;-690.594594594592;"[ -818.05405405  -611.67567568  -851.59459459  -655.37837838
  -888.43243243 -1186.59459459 -1511.7027027   -857.54054054
 -1765.94594595 -1748.75675676 -1475.32432432 -1164.
 -1337.48648649 -1295.91891892 -1428.67567568 -1305.62162162
 -1573.40540541 -1437.45945946 -1260.24324324 -1852.78378378
 -1833.2972973  -1319.64864865 -2711.45945946]";5.88436352593113;-1218.9477554105686;0.0;6.325667280835385
3;4;0;(3.4903846153846154, 252.0);0;12888.043478260865;"[-565.84057971 -542.91304348 -189.27536232 -594.02898551 -475.86956522
 -740.91304348  471.72463768  904.43478261  572.72463768  981.33333333
 2201.76811594 2154.8115942  1937.08695652 1621.08695652 3161.95652174
 3186.71014493 2403.91304348 3615.60869565 4426.7826087  2816.66666667
 3435.60869565 3887.17391304 4726.39130435]";8.284389323803076;7092.091694959145;0.0;4.696310242523547
4;5;0;(4.08029197080292, 133.0);0;47747.21333333335;"[ -283.51333333  -504.03333333  -532.82        -406.68666667
  -498.6         -730.61333333  2379.12666667  3411.68666667
  7551.91333333  8758.04666667  9894.55333333  9569.05333333
 10150.51333333 10261.97333333 10522.48666667  7663.48666667
 10356.44666667 10244.44666667 14209.3        11003.69333333
 10907.76       10675.55333333 12856.24666667]";1.5332869651117893;11762.310570223404;0.0;0.2994557747499822
5;6;0;(4.08029197080292, 566.0);0;99056.86764705881;"[-1365.97058824 -1166.64215686 -1147.17156863 -1377.94117647
 -1106.15196078   781.67647059  6321.59313725 11552.71568627
 13371.89215686 13240.28431373 15115.10294118 18229.49019608
 14258.65196078 20061.30392157 22675.27941176 18405.64215686
 21746.66176471 22663.85294118 27212.85784314 24165.42647059
 25801.75490196 26917.14215686 23416.87254902]";3.5012923930157487;28997.93336165344;0.0;0.6587234513486475
6;7;0;(3.4563106796116503, 35.728155339805824);0;32738.399999999998;"[-101.4   57.   270.   113.2  363.2  499.8  209.2 -136.8 2044.2 1324.
 4356.2 4159.8 5386.  3598.8 8576.  6123.  5736.8 6025.4 8342.4 7528.8
 8121.2 7973.2 9033.8]";3.6731291152427286;9417.613197080776;0.0;1.414465566374262
7;8;0;(4.404958677685951, 48.83471074380165);0;68323.675;"[ -265.625  -371.9    -213.525  -292.     1544.425  4803.45   5625.1
  8604.35  11188.35  13697.95  16280.675 16571.575 16182.65  13014.625
 17999.05  19665.925 18949.9   22279.75  22962.425 27484.3   26873.275
 22931.475 25197.45 ]";6.736714101078252;34487.35523696696;0.0;2.000183217348386
8;9;0;(3.9402985074626864, 374.7835820895522);0;127120.57553956837;"[ -775.85611511 -1008.82014388  -792.64028777  -771.1942446
   140.81294964 10138.09352518 15704.0647482  31948.44604317
 36554.61870504 32403.10071942 34779.27338129 39704.63309353
 37918.53956835 42821.64748201 45980.31654676 42471.43165468
 50336.0647482  48562.03597122 51899.77697842 47454.49640288
 51528.69064748 43381.43884892 44525.92805755]";1.932697336403631;49220.9518227975;0.0;0.27000960548733394
9;10;0;(4.475524475524476, 600.3986013986014);0;7590.106870229003;"[-2.24407634e+03 -2.63770229e+03 -2.62758015e+03 -2.62812214e+03
 -2.74338931e+03 -2.39161832e+03 -1.69588550e+03 -1.24831298e+03
 -8.29480916e+02  1.43549618e+02  5.15671756e+02  1.26961832e+03
 -2.32274809e+02 -1.52671756e-02  1.13783206e+03 -2.03465649e+02
 -3.47030534e+02  1.11597710e+03  9.89511450e+02  1.24512214e+03
  2.01953435e+03  6.05725191e+01  1.02108397e+03]";1.7682799498003392;3474.153416190406;0.0;0.6409249744122905
